EGID;EDID;GDEKT;GDENR;GDENAME;STRNAME;DEINR;PLZ4;PLZZ;PLZNAME;GKODE;GKODN;STRSP
1741213;0;GR;3901;Chur;Fliederweg;9;7000;0;Chur;2758752.391;1191395.826;de
1741214;0;GR;3901;Chur;Fliederweg;11;7000;0;Chur;2758714.71;1191394.504;de
1741215;0;GR;3901;Chur;Fliederweg;12;7000;0;Chur;2758690.112;1191427.562;de
1741216;0;GR;3901;Chur;Fliederweg;14;7000;0;Chur;2758673.228;1191414.831;de
1741217;0;GR;3901;Chur;Fliederweg;15;7000;0;Chur;2758727.51;1191377.89;de
1741218;0;GR;3901;Chur;Fliederweg;17;7000;0;Chur;2758694.517;1191376.227;de
1741219;0;GR;3901;Chur;Fliederweg;17a;7000;0;Chur;2758703.46;1191358.65;de
1741220;0;GR;3901;Chur;Fliederweg;19;7000;0;Chur;2758664.169;1191363.126;de
1741221;0;GR;3901;Chur;Fliederweg;20;7000;0;Chur;2758626.564;1191392.724;de
1741222;0;GR;3901;Chur;Fliederweg;21;7000;0;Chur;2758640.509;1191351.167;de
1741223;0;GR;3901;Chur;Fliederweg;22;7000;0;Chur;2758611.272;1191379.927;de
